Rep,Type,tubulin,ATG9A,normATG9A,relWTATG9A
1,WT,654000,169000,0.258409786,1
1,Control,617000,178000,0.288492707,1.116415563
1,tepsin,576000,215000,0.373263889,1.44446499
1,AP4E1,567000,178000,0.313932981,1.214864907
2,WT,600000,372000,0.62,1
2,Control,597000,300000,0.502512563,0.810504134
2,tepsin,561000,553000,0.98573975,1.589902823
2,AP4E1,591000,455000,0.769881557,1.241744446
3,WT,571000,527000,0.922942207,1
3,Control,566000,698000,1.233215548,1.336178515
3,tepsin,551000,1010000,1.833030853,1.986073276
3,AP4E1,546000,579000,1.06043956,1.148977208
